Customer ID,Name,Age,Gender,Location,Transaction History,Online Behavior,Interests,Values,Lifestyle,Target
CUS0000,Customer 0,65,Male,Sydney,25071.54,Active,Fashion,Security,Family-Oriented,High Networth Individuals
CUS0001,Customer 1,59,Female,Brisbane,31374.83,Passive,Finance,Low Fees,Family-Oriented,High Networth Individuals
CUS0002,Customer 2,19,Male,Perth,25359.02,Passive,Tech,Convenience,Student,Students
CUS0003,Customer 3,38,Male,Adelaide,2383.76,Passive,Finance,Customer Service,Business Owner,Small business
CUS0004,Customer 4,77,Male,Brisbane,39319.09,Passive,Fashion,Customer Service,Business Owner,High Networth Individuals
CUS0005,Customer 5,47,Male,Sydney,10788.4,Passive,Sports,Security,Single,Young clients
CUS0006,Customer 6,52,Non-binary,Perth,19883.13,Active,Finance,Convenience,Family-Oriented,High Networth Individuals
CUS0007,Customer 7,27,Female,Hobart,13484.77,Active,Finance,Security,Single,Single
CUS0008,Customer 8,79,Male,Melbourne,14641.13,Passive,Tech,Customer Service,Retired,Family
CUS0009,Customer 9,25,Non-binary,Hobart,8184.3,Active,Travel,Convenience,Single,Single
CUS0010,Customer 10,45,Male,Hobart,16412.27,Active,Music,Low Fees,Student,High Networth Individuals
CUS0011,Customer 11,59,Male,Adelaide,15648.01,Active,Sports,Customer Service,Retired,High Networth Individuals
CUS0012,Customer 12,76,Female,Sydney,7587.58,Passive,Fashion,Customer Service,Family-Oriented,Small business
CUS0013,Customer 13,65,Female,Brisbane,11753.82,Passive,Travel,Security,Business Owner,High Networth Individuals
CUS0014,Customer 14,32,Male,Hobart,46236.22,Active,Finance,Low Fees,Business Owner,Young clients
CUS0015,Customer 15,76,Female,Melbourne,3490.66,Active,Finance,Innovation,Family-Oriented,Family
CUS0016,Customer 16,20,Non-binary,Adelaide,40027.51,Passive,Music,Innovation,Single,Young clients
CUS0017,Customer 17,40,Non-binary,Hobart,42666.25,Active,Fashion,Convenience,Single,High Networth Individuals
CUS0018,Customer 18,37,Male,Sydney,15214.35,Passive,Travel,Low Fees,Business Owner,Tech savvy customer
CUS0019,Customer 19,45,Male,Brisbane,36711.94,Passive,Sports,Innovation,Student,High Networth Individuals
CUS0020,Customer 20,58,Female,Hobart,33757.09,Passive,Finance,Security,Retired,High Networth Individuals
CUS0021,Customer 21,59,Non-binary,Adelaide,3824.78,Passive,Music,Innovation,Retired,Single
CUS0022,Customer 22,53,Male,Perth,29348.25,Active,Sports,Convenience,Family-Oriented,High Networth Individuals
CUS0023,Customer 23,29,Male,Brisbane,49817.28,Active,Finance,Low Fees,Business Owner,Family
CUS0024,Customer 24,24,Male,Adelaide,31478.84,Active,Finance,Convenience,Single,Single
CUS0025,Customer 25,64,Female,Sydney,46087.71,Active,Tech,Convenience,Family-Oriented,High Networth Individuals
CUS0026,Customer 26,59,Female,Perth,26905.26,Active,Finance,Convenience,Family-Oriented,High Networth Individuals
CUS0027,Customer 27,50,Non-binary,Sydney,2676.68,Passive,Tech,Security,Family-Oriented,Small business
CUS0028,Customer 28,33,Non-binary,Melbourne,8225.97,Passive,Travel,Low Fees,Single,Single
CUS0029,Customer 29,58,Male,Hobart,1238.83,Active,Sports,Convenience,Retired,Tech savvy customer
CUS0030,Customer 30,28,Female,Sydney,29975.39,Passive,Fashion,Security,Student,High Networth Individuals
CUS0031,Customer 31,71,Female,Adelaide,22996.14,Passive,Tech,Low Fees,Business Owner,Young clients
CUS0032,Customer 32,22,Male,Sydney,5818.31,Passive,Tech,Convenience,Student,Young clients
CUS0033,Customer 33,18,Non-binary,Sydney,29534.64,Passive,Music,Innovation,Student,Students
CUS0034,Customer 34,34,Non-binary,Sydney,8103.55,Passive,Music,Innovation,Family-Oriented,Tech savvy customer
CUS0035,Customer 35,69,Female,Perth,43217.84,Active,Sports,Security,Retired,High Networth Individuals
CUS0036,Customer 36,66,Female,Hobart,16671.34,Active,Sports,Low Fees,Student,High Networth Individuals
CUS0037,Customer 37,49,Male,Adelaide,32786.67,Active,Sports,Convenience,Single,High Networth Individuals
CUS0038,Customer 38,51,Male,Brisbane,16155.18,Passive,Tech,Convenience,Family-Oriented,High Networth Individuals
CUS0039,Customer 39,60,Non-binary,Melbourne,1204.96,Active,Sports,Security,Family-Oriented,Tech savvy customer
CUS0040,Customer 40,61,Non-binary,Brisbane,46082.52,Passive,Finance,Convenience,Family-Oriented,High Networth Individuals
CUS0041,Customer 41,65,Female,Sydney,36479.73,Passive,Travel,Low Fees,Family-Oriented,High Networth Individuals
CUS0042,Customer 42,20,Male,Brisbane,31453.72,Passive,Travel,Low Fees,Single,Single
CUS0043,Customer 43,46,Non-binary,Melbourne,6018.87,Active,Finance,Security,Single,Small business
CUS0044,Customer 44,68,Male,Sydney,40099.63,Passive,Finance,Low Fees,Business Owner,High Networth Individuals
CUS0045,Customer 45,28,Female,Melbourne,23495.09,Active,Sports,Security,Single,Single
CUS0046,Customer 46,62,Female,Hobart,22629.51,Active,Music,Security,Retired,High Networth Individuals
CUS0047,Customer 47,56,Female,Brisbane,5124.67,Passive,Fashion,Customer Service,Retired,Young clients
CUS0048,Customer 48,58,Non-binary,Perth,44655.79,Active,Finance,Innovation,Retired,High Networth Individuals
CUS0049,Customer 49,30,Male,Melbourne,43880.05,Passive,Music,Convenience,Family-Oriented,High Networth Individuals
CUS0050,Customer 50,56,Male,Hobart,7433.65,Passive,Sports,Security,Business Owner,Small business
CUS0051,Customer 51,38,Female,Adelaide,35066.02,Active,Tech,Low Fees,Single,Single
CUS0052,Customer 52,32,Female,Sydney,40313.24,Active,Tech,Security,Business Owner,High Networth Individuals
CUS0053,Customer 53,54,Female,Hobart,14774.03,Passive,Travel,Convenience,Single,Young clients
CUS0054,Customer 54,47,Male,Hobart,26874.88,Passive,Sports,Customer Service,Business Owner,Tech savvy customer
CUS0055,Customer 55,61,Male,Hobart,28172.08,Active,Finance,Security,Single,High Networth Individuals
CUS0056,Customer 56,45,Female,Hobart,22909.61,Passive,Travel,Innovation,Student,High Networth Individuals
CUS0057,Customer 57,21,Male,Perth,26345.45,Passive,Tech,Customer Service,Family-Oriented,Frequent traveller
CUS0058,Customer 58,73,Male,Adelaide,33551.92,Passive,Finance,Low Fees,Student,High Networth Individuals
CUS0059,Customer 59,22,Male,Sydney,47683.5,Active,Finance,Customer Service,Business Owner,Students
CUS0060,Customer 60,28,Male,Adelaide,34992.5,Passive,Fashion,Low Fees,Single,Single
CUS0061,Customer 61,38,Female,Melbourne,44414.65,Passive,Fashion,Innovation,Business Owner,Frequent traveller
CUS0062,Customer 62,59,Male,Perth,32660.86,Passive,Sports,Security,Student,High Networth Individuals
CUS0063,Customer 63,72,Female,Adelaide,18330.01,Passive,Fashion,Innovation,Retired,High Networth Individuals
CUS0064,Customer 64,52,Non-binary,Melbourne,48320.38,Passive,Finance,Convenience,Student,High Networth Individuals
CUS0065,Customer 65,24,Female,Brisbane,2751.21,Passive,Music,Customer Service,Family-Oriented,Young clients
CUS0066,Customer 66,45,Non-binary,Brisbane,10335.45,Passive,Travel,Customer Service,Single,Small business
